1,01758301	0,01758300	0,46515203	-0,53484797
2,01193190	0,01193200	0,40525398	-0,59474599
4,02841377	0,02841400	NaN	NaN
7,99537802	-0,00462200	1,18858504	0,18858510
16,00097084	0,00097000	0,85611010	-0,14388989
32,01137161	0,01137000	1,03172243	0,03172240
63,99974060	-0,00026000	1,02658522	0,02658520
128,00399780	0,00400000	0,99049026	-0,00950972
256,00369263	0,00370000	0,99595118	-0,00404883
512,00738525	0,00740000	0,99606854	-0,00393147
1024,01293945	0,01300000	0,99605590	-0,00394409
2048,01904297	0,01900000	0,99589103	-0,00410898
4096,03808594	0,03800000	0,99594676	-0,00405324
8192,06054687	0,06100000	0,99601114	-0,00398889
16384,14062500	0,14000000	0,99578315	-0,00421687
32768,28125000	0,28000000	0,99590278	-0,00409720
65536,50781250	0,50999999	0,99653941	-0,00346057
131073,20312500	1,20000005	0,99928218	-0,00071781
262146,40625000	2,40000010	1,00204206	0,00204210
524292,12500000	4,09999990	1,00175738	0,00175740
1046038,00000000	-2538,00000000	1,05087376	0,05087370
